,name,model,seed,TN,FP,FN,TP,Accuracy,AUC,Sensitivity,Specificity,PPV,NPV,F1,MCC
108,rf_seed_4_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,4_skf_2,38,12,6,12,0.735,0.747,0.667,0.76,0.5,0.864,0.571,0.394
109,rf_seed_4_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,4_skf_3,38,12,6,12,0.735,0.757,0.667,0.76,0.5,0.864,0.571,0.394
110,rf_seed_4_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,4_skf_4,39,11,6,12,0.75,0.756,0.667,0.78,0.522,0.867,0.585,0.417
111,rf_seed_5_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,5_skf_0,37,13,6,12,0.721,0.724,0.667,0.74,0.48,0.86,0.558,0.372
112,rf_seed_5_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,5_skf_1,38,12,7,11,0.721,0.734,0.611,0.76,0.478,0.844,0.537,0.346
113,rf_seed_5_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,5_skf_2,40,10,8,10,0.735,0.749,0.556,0.8,0.5,0.833,0.526,0.344
114,rf_seed_5_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,5_skf_3,36,14,7,11,0.691,0.744,0.611,0.72,0.44,0.837,0.512,0.303
115,rf_seed_5_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,5_skf_4,41,9,9,9,0.735,0.774,0.5,0.82,0.5,0.82,0.5,0.32
116,rf_seed_6_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,6_skf_0,36,14,5,13,0.721,0.744,0.722,0.72,0.481,0.878,0.578,0.399
117,rf_seed_6_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,6_skf_1,39,11,7,11,0.735,0.733,0.611,0.78,0.5,0.848,0.55,0.369
118,rf_seed_6_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,6_skf_2,42,8,10,8,0.735,0.703,0.444,0.84,0.5,0.808,0.471,0.296
119,rf_seed_6_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,6_skf_3,40,10,6,12,0.765,0.79,0.667,0.8,0.545,0.87,0.6,0.44
120,rf_seed_6_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,6_skf_4,40,10,7,11,0.75,0.772,0.611,0.8,0.524,0.851,0.564,0.393
121,rf_seed_7_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,7_skf_0,38,12,7,11,0.721,0.726,0.611,0.76,0.478,0.844,0.537,0.346
122,rf_seed_7_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,7_skf_1,42,8,9,9,0.75,0.769,0.5,0.84,0.529,0.824,0.514,0.346
123,rf_seed_7_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,7_skf_2,35,15,4,14,0.721,0.737,0.778,0.7,0.483,0.897,0.596,0.426
124,rf_seed_7_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,7_skf_3,41,9,7,11,0.765,0.773,0.611,0.82,0.55,0.854,0.579,0.417
125,rf_seed_7_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,7_skf_4,35,15,5,13,0.706,0.754,0.722,0.7,0.464,0.875,0.565,0.378
126,rf_seed_8_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,8_skf_0,39,11,6,12,0.75,0.714,0.667,0.78,0.522,0.867,0.585,0.417
127,rf_seed_8_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,8_skf_1,41,9,6,12,0.779,0.754,0.667,0.82,0.571,0.872,0.615,0.465
128,rf_seed_8_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,8_skf_2,37,13,7,11,0.706,0.729,0.611,0.74,0.458,0.841,0.524,0.324
129,rf_seed_8_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,8_skf_3,35,15,6,12,0.691,0.729,0.667,0.7,0.444,0.854,0.533,0.331
130,rf_seed_8_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,8_skf_4,35,15,10,8,0.632,0.679,0.444,0.7,0.348,0.778,0.39,0.135
131,rf_seed_9_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,9_skf_0,39,11,6,12,0.75,0.738,0.667,0.78,0.522,0.867,0.585,0.417
132,rf_seed_9_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,9_skf_1,39,11,8,10,0.721,0.761,0.556,0.78,0.476,0.83,0.513,0.32
133,rf_seed_9_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,9_skf_2,35,15,6,12,0.691,0.739,0.667,0.7,0.444,0.854,0.533,0.331
134,rf_seed_9_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,9_skf_3,40,10,6,12,0.765,0.748,0.667,0.8,0.545,0.87,0.6,0.44
135,rf_seed_9_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,9_skf_4,40,10,8,10,0.735,0.768,0.556,0.8,0.5,0.833,0.526,0.344
136,rf_seed_10_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,10_skf_0,40,10,7,11,0.75,0.74,0.611,0.8,0.524,0.851,0.564,0.393
137,rf_seed_10_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,10_skf_1,42,8,6,12,0.794,0.769,0.667,0.84,0.6,0.875,0.632,0.491
138,rf_seed_10_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,10_skf_2,36,14,10,8,0.647,0.742,0.444,0.72,0.364,0.783,0.4,0.155
139,rf_seed_10_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,10_skf_3,37,13,4,14,0.75,0.766,0.778,0.74,0.519,0.902,0.622,0.467
140,rf_seed_10_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,10_skf_4,36,14,6,12,0.706,0.704,0.667,0.72,0.462,0.857,0.545,0.351
141,rf_seed_11_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,11_skf_0,36,14,8,10,0.676,0.736,0.556,0.72,0.417,0.818,0.476,0.254
142,rf_seed_11_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,11_skf_1,40,10,7,11,0.75,0.709,0.611,0.8,0.524,0.851,0.564,0.393
143,rf_seed_11_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,11_skf_2,40,10,5,13,0.779,0.781,0.722,0.8,0.565,0.889,0.634,0.487
144,rf_seed_11_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,11_skf_3,39,11,7,11,0.735,0.756,0.611,0.78,0.5,0.848,0.55,0.369
145,rf_seed_11_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,11_skf_4,38,12,8,10,0.706,0.734,0.556,0.76,0.455,0.826,0.5,0.298
146,rf_seed_12_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,12_skf_0,34,16,5,13,0.691,0.754,0.722,0.68,0.448,0.872,0.553,0.359
147,rf_seed_12_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,12_skf_1,37,13,7,11,0.706,0.731,0.611,0.74,0.458,0.841,0.524,0.324
148,rf_seed_12_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,12_skf_2,38,12,7,11,0.721,0.732,0.611,0.76,0.478,0.844,0.537,0.346
149,rf_seed_12_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,12_skf_3,37,13,9,9,0.676,0.707,0.5,0.74,0.409,0.804,0.45,0.226
150,rf_seed_12_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,12_skf_4,40,10,7,11,0.75,0.786,0.611,0.8,0.524,0.851,0.564,0.393
151,rf_seed_13_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,13_skf_0,34,16,6,12,0.676,0.736,0.667,0.68,0.429,0.85,0.522,0.311
152,rf_seed_13_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,13_skf_1,34,16,5,13,0.691,0.727,0.722,0.68,0.448,0.872,0.553,0.359
153,rf_seed_13_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,13_skf_2,40,10,7,11,0.75,0.728,0.611,0.8,0.524,0.851,0.564,0.393
154,rf_seed_13_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,13_skf_3,42,8,8,10,0.765,0.773,0.556,0.84,0.556,0.84,0.556,0.396
155,rf_seed_13_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,13_skf_4,41,9,7,11,0.765,0.734,0.611,0.82,0.55,0.854,0.579,0.417
