,name,model,seed,TN,FP,FN,TP,Accuracy,AUC,Sensitivity,Specificity,PPV,NPV,F1,MCC
13,xgboost_seed_2_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,2_skf_4,608,73,62,175,0.853,0.907,0.738,0.893,0.706,0.907,0.722,0.622
14,xgboost_seed_3_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,3_skf_0,613,68,67,170,0.853,0.905,0.717,0.9,0.714,0.901,0.716,0.617
15,xgboost_seed_3_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,3_skf_2,606,75,60,177,0.853,0.904,0.747,0.89,0.702,0.91,0.724,0.624
16,xgboost_seed_3_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,3_skf_3,608,73,70,167,0.844,0.899,0.705,0.893,0.696,0.897,0.7,0.595
17,xgboost_seed_3_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,3_skf_4,603,78,62,175,0.847,0.908,0.738,0.885,0.692,0.907,0.714,0.611
18,xgboost_seed_4_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,4_skf_0,609,72,62,175,0.854,0.903,0.738,0.894,0.709,0.908,0.723,0.624
19,xgboost_seed_4_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,4_skf_1,603,78,66,171,0.843,0.903,0.722,0.885,0.687,0.901,0.704,0.597
20,xgboost_seed_4_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,4_skf_2,604,77,65,172,0.845,0.903,0.726,0.887,0.691,0.903,0.708,0.603
21,xgboost_seed_4_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,4_skf_3,607,74,59,178,0.855,0.904,0.751,0.891,0.706,0.911,0.728,0.63
22,xgboost_seed_5_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,5_skf_0,610,71,60,177,0.857,0.907,0.747,0.896,0.714,0.91,0.73,0.633
23,xgboost_seed_5_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,5_skf_1,613,68,62,175,0.858,0.905,0.738,0.9,0.72,0.908,0.729,0.633
24,xgboost_seed_5_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,5_skf_2,613,68,64,173,0.856,0.904,0.73,0.9,0.718,0.905,0.724,0.627
25,xgboost_seed_5_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,5_skf_3,607,74,59,178,0.855,0.905,0.751,0.891,0.706,0.911,0.728,0.63
26,xgboost_seed_5_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,5_skf_4,605,76,67,170,0.844,0.904,0.717,0.888,0.691,0.9,0.704,0.598
27,xgboost_seed_6_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,6_skf_0,604,77,62,175,0.849,0.904,0.738,0.887,0.694,0.907,0.716,0.613
28,xgboost_seed_6_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,6_skf_2,612,69,63,174,0.856,0.908,0.734,0.899,0.716,0.907,0.725,0.628
29,xgboost_seed_6_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,6_skf_3,607,74,70,167,0.843,0.906,0.705,0.891,0.693,0.897,0.699,0.593
30,xgboost_seed_6_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,6_skf_4,608,73,66,171,0.849,0.905,0.722,0.893,0.701,0.902,0.711,0.609
