2026-02-04 14:09:40,548|INFO|__main__.startLogging|>>>> START LOGGING A GMTAMES EXPERIMENT
2026-02-04 14:09:49,998|INFO|nn.computeOptunaObjective|Trial 28 timings:|0.2382190830030595
2026-02-04 14:09:49,998|INFO|nn.computeOptunaObjective|Trial 28 objective:|0.5090867787369378
2026-02-04 14:09:50,225|INFO|nn.computeOptunaObjective|Trial 29 params:|{'n_layers': 3, 'architecture': 'bottom', 'lr': 0.001, 'n_epochs': 150}
2026-02-04 14:09:50,225|INFO|nn.computeOptunaObjective|Trial 29 balacc:|[0.5128918673330305]
2026-02-04 14:09:50,225|INFO|nn.computeOptunaObjective|Trial 29 rocauc:|[0.6965015901862789]
2026-02-04 14:09:50,225|INFO|nn.computeOptunaObjective|Trial 29 timings:|0.2272201669984497
2026-02-04 14:09:50,225|INFO|nn.computeOptunaObjective|Trial 29 objective:|0.5128918673330305
2026-02-04 14:09:50,451|INFO|nn.computeOptunaObjective|Trial 30 params:|{'n_layers': 3, 'architecture': 'inner', 'lr': 0.001, 'n_epochs': 150}
2026-02-04 14:09:50,451|INFO|nn.computeOptunaObjective|Trial 30 balacc:|[0.5199341208541572]
2026-02-04 14:09:50,451|INFO|nn.computeOptunaObjective|Trial 30 rocauc:|[0.7126306224443435]
2026-02-04 14:09:50,451|INFO|nn.computeOptunaObjective|Trial 30 timings:|0.22551983299854328
2026-02-04 14:09:50,451|INFO|nn.computeOptunaObjective|Trial 30 objective:|0.5199341208541572
2026-02-04 14:09:50,593|INFO|nn.computeOptunaObjective|Trial 31 params:|{'n_layers': 2, 'architecture': 'inner', 'lr': 0.0001, 'n_epochs': 100}
2026-02-04 14:09:50,593|INFO|nn.computeOptunaObjective|Trial 31 balacc:|[0.5]
2026-02-04 14:09:50,593|INFO|nn.computeOptunaObjective|Trial 31 rocauc:|[0.670717855520218]
2026-02-04 14:09:50,593|INFO|nn.computeOptunaObjective|Trial 31 timings:|0.14143462499851012
2026-02-04 14:09:50,593|INFO|nn.computeOptunaObjective|Trial 31 objective:|0.5
2026-02-04 14:09:50,741|INFO|nn.computeOptunaObjective|Trial 32 params:|{'n_layers': 2, 'architecture': 'linear', 'lr': 0.001, 'n_epochs': 100}
2026-02-04 14:09:50,741|INFO|nn.computeOptunaObjective|Trial 32 balacc:|[0.5234552476147206]
2026-02-04 14:09:50,741|INFO|nn.computeOptunaObjective|Trial 32 rocauc:|[0.7078600636074511]
2026-02-04 14:09:50,741|INFO|nn.computeOptunaObjective|Trial 32 timings:|0.146874709000258
2026-02-04 14:09:50,741|INFO|nn.computeOptunaObjective|Trial 32 objective:|0.5234552476147206
2026-02-04 14:09:51,076|INFO|nn.computeOptunaObjective|Trial 33 params:|{'n_layers': 4, 'architecture': 'bottom', 'lr': 0.001, 'n_epochs': 200}
2026-02-04 14:09:51,076|INFO|nn.computeOptunaObjective|Trial 33 balacc:|[0.5128918673330305]
2026-02-04 14:09:51,076|INFO|nn.computeOptunaObjective|Trial 33 rocauc:|[0.7003634711494775]
2026-02-04 14:09:51,076|INFO|nn.computeOptunaObjective|Trial 33 timings:|0.3349357919978502
2026-02-04 14:09:51,076|INFO|nn.computeOptunaObjective|Trial 33 objective:|0.5128918673330305
2026-02-04 14:09:51,313|INFO|nn.computeOptunaObjective|Trial 34 params:|{'n_layers': 2, 'architecture': 'inner', 'lr': 0.0001, 'n_epochs': 200}
2026-02-04 14:09:51,313|INFO|nn.computeOptunaObjective|Trial 34 balacc:|[0.5073262153566561]
2026-02-04 14:09:51,313|INFO|nn.computeOptunaObjective|Trial 34 rocauc:|[0.7019536574284416]
2026-02-04 14:09:51,313|INFO|nn.computeOptunaObjective|Trial 34 timings:|0.23566829099945608
2026-02-04 14:09:51,313|INFO|nn.computeOptunaObjective|Trial 34 objective:|0.5073262153566561
2026-02-04 14:09:51,499|INFO|nn.computeOptunaObjective|Trial 35 params:|{'n_layers': 4, 'architecture': 'inner', 'lr': 0.0001, 'n_epochs': 100}
2026-02-04 14:09:51,499|INFO|nn.computeOptunaObjective|Trial 35 balacc:|[0.5]
2026-02-04 14:09:51,499|INFO|nn.computeOptunaObjective|Trial 35 rocauc:|[0.6979781917310314]
2026-02-04 14:09:51,499|INFO|nn.computeOptunaObjective|Trial 35 timings:|0.1857196670025587
2026-02-04 14:09:51,499|INFO|nn.computeOptunaObjective|Trial 35 objective:|0.5
2026-02-04 14:09:51,711|INFO|nn.computeOptunaObjective|Trial 36 params:|{'n_layers': 2, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 150}
2026-02-04 14:09:51,711|INFO|nn.computeOptunaObjective|Trial 36 balacc:|[0.5216946842344389]
